row,sunny,burger,extra
0,0,3,2
1,0,1,0
2,0,1,0
3,1,4,4
4,0,1,0
5,0,3,1
6,0,2,2
7,0,3,3
8,0,1,0
9,0,4,1
10,1,4,4
11,0,0,3
12,0,2,2
13,1,2,4
14,0,3,2
15,0,4,1
16,0,4,1
17,0,0,3
18,0,4,4
19,0,0,0
20,0,4,1
21,0,0,1
22,0,2,3
23,0,1,2
24,0,4,0
25,0,4,1
26,0,4,2
27,1,4,0
28,0,0,1
29,0,4,1
30,0,1,0
31,1,4,4
32,0,0,3
33,0,4,1
34,0,4,2
35,0,1,0
36,1,4,4
37,0,1,0
38,0,0,3
39,0,4,1
40,0,4,0
41,0,4,0
42,0,0,3
43,0,3,2
44,1,0,4
45,0,2,2
46,0,4,1
47,1,0,4
48,0,0,2
49,0,1,0
50,1,1,1
51,0,3,4
52,1,3,3
53,0,1,2
54,0,1,0
55,1,1,4
56,0,4,1
57,0,4,2
58,1,4,4
59,1,4,4
60,0,1,0
61,0,0,3
62,0,0,2
63,0,2,1
64,0,4,1
65,0,1,0
66,1,4,4
67,0,4,3
68,0,4,1
69,0,1,0
70,0,1,0
71,0,2,2
72,1,0,4
73,1,4,4
74,1,0,4
75,0,4,0
76,0,4,3
77,1,4,4
78,0,4,1
79,0,4,1
80,0,2,2
81,0,2,0
82,0,4,3
83,0,2,2
84,0,3,0
85,0,2,2
86,0,2,2
87,0,0,3
88,1,1,4
89,0,1,0
90,1,0,4
91,0,4,1
92,0,4,1
93,0,2,3
94,0,4,1
95,0,4,1
96,0,3,2
97,0,4,1
98,0,4,1
99,0,4,1
100,0,4,1
101,0,3,2
102,0,1,0
103,1,3,4
104,0,1,3
105,0,2,2
106,1,1,4
107,0,2,2
108,0,0,3
109,1,3,4
110,0,4,0
111,0,0,3
112,0,1,0
113,0,0,3
114,1,4,4
115,1,0,4
116,0,4,1
117,0,1,0
118,1,0,4
119,0,1,2
120,0,0,3
121,0,1,0
122,0,4,1
123,0,0,3
124,1,4,4
125,1,3,4
126,0,0,3
127,0,4,0
128,0,0,3
129,0,4,1
130,0,1,3
131,0,1,0
132,0,1,0
133,0,3,2
134,0,1,1
135,0,2,2
136,1,0,3
137,0,4,1
138,1,0,3
139,0,0,3
140,0,4,3
141,0,2,2
142,0,4,1
143,0,1,0
144,0,4,0
145,0,1,0
146,1,3,4
147,1,0,3
148,0,3,2
149,1,4,4
150,0,0,3
151,0,4,1
152,0,0,3
153,1,4,4
154,1,3,4
155,0,4,1
156,1,4,4
157,0,4,1
158,0,0,1
159,0,4,3
160,0,1,2
161,0,4,1
162,0,4,1
163,0,4,3
164,0,4,3
165,0,1,0
166,0,2,2
167,0,4,1
168,0,1,0
169,0,4,1
170,0,2,2
171,0,1,0
172,1,0,4
173,0,1,0
174,1,4,4
175,0,4,1
176,0,1,1
177,0,3,4
178,0,0,3
179,1,4,4
180,0,4,1
181,0,3,1
182,1,1,4
183,0,2,2
184,0,0,3
185,0,1,3
186,1,1,4
187,1,1,4
188,0,4,1
189,0,1,0
190,1,4,1
191,0,4,1
192,0,4,2
193,1,4,1
194,0,4,1
195,0,3,4
196,1,1,4
